City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Khatanga,RU,2022-08-10 16:39:24,71.9667,102.5,45.21,72,93,12.55,overcast clouds
60,Bathsheba,BB,2022-08-10 16:34:38,13.2167,-59.5167,88.41,70,20,11.5,few clouds
61,Salisbury,GB,2022-08-10 16:39:31,51.0693,-1.7957,89.8,31,0,8.05,clear sky
62,Okha,RU,2022-08-10 16:39:32,53.5739,142.9478,56.95,89,99,5.66,overcast clouds
63,Henties Bay,NA,2022-08-10 16:39:32,-22.116,14.2845,55.27,89,18,7.29,few clouds
64,Barkhan,PK,2022-08-10 16:39:33,29.8977,69.5256,86.49,52,41,8.68,scattered clouds
65,San Carlos De Bariloche,AR,2022-08-10 16:37:08,-41.1456,-71.3082,40.44,54,100,0.0,fog
66,Poum,NC,2022-08-10 16:39:34,-20.2333,164.0167,69.57,57,0,22.26,clear sky
67,Muzhi,RU,2022-08-10 16:39:34,65.3667,64.6667,52.93,61,40,3.58,scattered clouds
68,Puerto Escondido,MX,2022-08-10 16:38:00,15.85,-97.0667,85.03,70,75,5.75,broken clouds
69,Ayan,RU,2022-08-10 16:39:35,56.45,138.1667,55.02,96,100,6.55,overcast clouds
70,Kavaratti,IN,2022-08-10 16:39:36,10.5669,72.642,81.72,82,80,22.5,broken clouds
71,Port Alfred,ZA,2022-08-10 16:39:36,-33.5906,26.891,62.44,81,84,7.4,broken clouds
72,Avera,US,2022-08-10 16:39:37,33.194,-82.5271,83.55,49,100,9.86,overcast clouds
73,Santa Cruz,BO,2022-08-10 16:39:38,-17.8,-63.1667,68.05,40,0,14.97,clear sky
74,Reykjavik,IS,2022-08-10 16:39:38,64.1355,-21.8954,51.82,76,75,9.22,broken clouds
75,Solnechnyy,RU,2022-08-10 16:39:39,50.7214,136.6319,55.6,96,100,5.12,moderate rain
76,Ilulissat,GL,2022-08-10 16:39:39,69.2167,-51.1,42.82,93,100,6.91,light intensity drizzle rain
77,Tiksi,RU,2022-08-10 16:39:40,71.6872,128.8694,49.5,91,100,4.94,overcast clouds
78,Hermanus,ZA,2022-08-10 16:39:40,-34.4187,19.2345,57.79,88,100,9.28,overcast clouds
79,Flin Flon,CA,2022-08-10 16:38:43,54.7682,-101.865,68.2,38,8,1.99,clear sky
80,Longyearbyen,SJ,2022-08-10 16:39:41,78.2186,15.6401,48.04,81,75,2.3,light intensity drizzle rain
81,Plettenberg Bay,ZA,2022-08-10 16:39:42,-34.0527,23.3716,56.98,90,93,4.14,overcast clouds
82,Ziyang,CN,2022-08-10 16:39:42,29.2497,117.8547,76.42,91,97,3.06,overcast clouds
83,Jamestown,US,2022-08-10 16:34:43,42.097,-79.2353,78.03,52,75,5.75,broken clouds
84,Hukuntsi,BW,2022-08-10 16:39:43,-24.0,21.75,70.68,11,0,9.08,clear sky
85,Victoria,HK,2022-08-10 16:37:32,22.2855,114.1577,81.32,90,100,11.99,overcast clouds
86,Mao,ES,2022-08-10 16:39:45,39.8885,4.2658,90.16,37,0,6.91,clear sky
87,Grindavik,IS,2022-08-10 16:39:45,63.8424,-22.4338,51.75,87,75,16.11,broken clouds
88,Kuah,MY,2022-08-10 16:39:45,6.3265,99.8432,80.58,83,20,2.3,few clouds
89,Puerto Ayora,EC,2022-08-10 16:39:46,-0.7393,-90.3518,78.76,85,91,8.01,overcast clouds
90,Rincon,US,2022-08-10 16:39:47,32.296,-81.2354,88.95,62,100,8.05,overcast clouds
91,Camacha,PT,2022-08-10 16:39:47,33.0833,-16.3333,72.82,64,20,16.11,few clouds
92,Thompson,CA,2022-08-10 16:39:48,55.7435,-97.8558,68.92,38,0,5.17,clear sky
93,Najran,SA,2022-08-10 16:39:49,17.4924,44.1277,93.85,29,90,6.35,overcast clouds
94,Verin,ES,2022-08-10 16:39:49,41.9415,-7.4381,87.57,28,12,4.94,light rain
95,Sindor,RU,2022-08-10 16:39:50,62.8629,51.8905,53.78,87,100,7.63,overcast clouds
96,Port Hedland,AU,2022-08-10 16:39:51,-20.3167,118.5667,59.05,67,40,8.05,scattered clouds
97,Catuday,PH,2022-08-10 16:39:51,16.2923,119.8062,78.01,83,100,4.14,light rain
98,Batagay,RU,2022-08-10 16:39:52,67.6333,134.6333,55.06,73,0,1.81,clear sky
99,Hilo,US,2022-08-10 16:39:52,19.7297,-155.09,83.28,90,75,9.22,light rain
100,Paradise Valley,US,2022-08-10 16:36:40,33.5312,-111.9427,95.67,45,0,3.44,clear sky
101,Yokadouma,CM,2022-08-10 16:39:53,3.5167,15.05,75.78,78,100,2.75,light rain
102,Vila Velha,BR,2022-08-10 16:38:02,-20.3297,-40.2925,85.95,56,0,13.8,clear sky
103,Riyadh,SA,2022-08-10 16:35:10,24.6877,46.7219,107.74,10,69,10.71,broken clouds
104,Hare Bay,CA,2022-08-10 16:39:54,48.8499,-54.0148,59.4,72,99,8.39,overcast clouds
105,Hasaki,JP,2022-08-10 16:39:54,35.7333,140.8333,79.29,90,100,16.15,overcast clouds
106,Chokurdakh,RU,2022-08-10 16:39:55,70.6333,147.9167,53.22,69,0,9.15,clear sky
107,East London,ZA,2022-08-10 16:38:33,-33.0153,27.9116,58.14,88,0,6.91,clear sky
108,Fortuna,US,2022-08-10 16:39:55,40.5982,-124.1573,73.92,73,0,3.44,clear sky
109,Abu Samrah,SY,2022-08-10 16:39:56,35.3029,37.1841,80.2,48,0,17.45,clear sky
110,Lasa,IT,2022-08-10 16:39:57,46.6166,10.7002,77.88,73,90,2.3,overcast clouds
111,Worland,US,2022-08-10 16:36:43,44.0169,-107.9554,87.67,29,0,3.44,clear sky
112,Mahanoro,MG,2022-08-10 16:39:58,-19.9,48.8,66.78,79,100,6.29,light rain
113,Kanata,CA,2022-08-10 16:39:58,45.3159,-75.8985,76.62,67,17,3.0,few clouds
114,Chuy,UY,2022-08-10 16:39:59,-33.6971,-53.4616,56.23,60,7,7.54,clear sky
115,Hovd,MN,2022-08-10 16:40:00,48.0056,91.6419,70.23,35,100,3.71,overcast clouds
116,Mahebourg,MU,2022-08-10 16:40:00,-20.4081,57.7,70.25,60,75,18.41,broken clouds
117,Atar,MR,2022-08-10 16:40:01,20.5169,-13.0499,108.28,6,8,19.62,clear sky
118,Carnarvon,AU,2022-08-10 16:40:01,-24.8667,113.6333,59.92,49,0,16.46,clear sky
119,Kapaa,US,2022-08-10 16:40:02,22.0752,-159.319,77.11,88,75,13.8,light rain
120,De-Kastri,RU,2022-08-10 16:40:03,51.4667,140.7833,57.49,91,80,5.08,broken clouds
121,Atuona,PF,2022-08-10 16:40:03,-9.8,-139.0333,77.56,75,31,22.1,scattered clouds
122,Isangel,VU,2022-08-10 16:40:03,-19.55,169.2667,69.53,57,67,14.41,broken clouds
123,Los Llanos De Aridane,ES,2022-08-10 16:40:04,28.6585,-17.9182,73.15,78,75,10.36,broken clouds
124,Butaritari,KI,2022-08-10 16:40:04,3.0707,172.7902,81.01,79,99,15.79,light rain
125,Clyde River,CA,2022-08-10 16:40:05,70.4692,-68.5914,44.71,63,52,2.13,broken clouds
126,Carballo,ES,2022-08-10 16:40:05,43.213,-8.691,83.62,82,61,3.27,broken clouds
127,Katobu,ID,2022-08-10 16:40:06,-4.9408,122.5276,73.17,96,99,3.58,overcast clouds
128,Zeya,RU,2022-08-10 16:40:06,53.75,127.2667,52.52,95,99,3.4,overcast clouds
129,Faanui,PF,2022-08-10 16:40:07,-16.4833,-151.75,75.52,75,0,4.72,light rain
130,Asfi,MA,2022-08-10 16:40:07,32.2994,-9.2372,73.0,73,4,14.2,clear sky
131,Asyut,EG,2022-08-10 16:40:08,27.181,31.1837,96.98,20,0,11.12,clear sky
132,Port Elizabeth,ZA,2022-08-10 16:40:09,-33.918,25.5701,59.31,87,0,9.22,clear sky
133,Potosi,BO,2022-08-10 16:40:09,-19.5836,-65.7531,52.66,35,1,6.91,clear sky
134,Peace River,CA,2022-08-10 16:40:10,56.2501,-117.286,70.32,70,0,7.94,clear sky
135,Petropavlovsk-Kamchatskiy,RU,2022-08-10 16:40:10,53.0452,158.6483,52.39,100,75,2.24,broken clouds
136,Kaitangata,NZ,2022-08-10 16:40:11,-46.2817,169.8464,36.82,84,96,2.17,overcast clouds
137,Kruisfontein,ZA,2022-08-10 16:40:11,-34.0033,24.7314,55.42,86,99,4.79,overcast clouds
138,Bredasdorp,ZA,2022-08-10 16:40:12,-34.5322,20.0403,54.95,92,100,7.09,overcast clouds
139,Kasempa,ZM,2022-08-10 16:40:12,-13.4584,25.8338,68.14,21,1,4.59,clear sky
140,Ekibastuz,KZ,2022-08-10 16:40:13,51.6667,75.3667,61.75,92,94,7.27,heavy intensity rain
141,Buala,SB,2022-08-10 16:40:14,-8.145,159.5921,78.22,82,79,2.68,light rain
142,Lavrentiya,RU,2022-08-10 16:40:14,65.5833,-171.0,47.01,72,91,7.02,overcast clouds
143,Faya,SA,2022-08-10 16:40:15,18.3851,42.4509,69.91,83,98,8.55,overcast clouds
144,Dikson,RU,2022-08-10 16:40:15,73.5069,80.5464,41.52,96,100,9.64,overcast clouds
145,Upington,ZA,2022-08-10 16:40:16,-28.4478,21.2561,75.58,15,0,4.61,clear sky
146,Pacific Grove,US,2022-08-10 16:40:17,36.6177,-121.9166,70.34,77,0,10.0,clear sky
147,Lompoc,US,2022-08-10 16:40:18,34.6391,-120.4579,76.84,93,100,3.44,mist
148,Nampula,MZ,2022-08-10 16:40:18,-15.1165,39.2666,75.15,57,40,10.36,scattered clouds
149,Galesong,ID,2022-08-10 16:40:19,-5.3166,119.3661,77.02,87,100,6.42,overcast clouds
150,Jaciara,BR,2022-08-10 16:39:19,-15.9653,-54.9683,71.26,36,100,10.31,overcast clouds
151,Bestobe,KZ,2022-08-10 16:40:20,52.4994,73.0975,65.93,62,88,8.37,overcast clouds
152,Zhanaozen,KZ,2022-08-10 16:40:20,43.3,52.8,87.67,20,0,11.43,clear sky
153,Road Town,VG,2022-08-10 16:39:47,18.4167,-64.6167,89.69,66,20,11.5,few clouds
154,Tura,IN,2022-08-10 16:40:21,25.5198,90.2201,74.89,89,41,6.2,scattered clouds
155,Sayyan,YE,2022-08-10 16:37:15,15.1718,44.3244,66.31,60,98,9.37,overcast clouds
156,Katsuura,JP,2022-08-10 16:40:22,35.1333,140.3,80.47,90,98,12.84,overcast clouds
157,Rio Cuarto,AR,2022-08-10 16:40:22,-33.1307,-64.3499,59.32,51,40,29.93,scattered clouds
158,Eyl,SO,2022-08-10 16:40:23,7.9803,49.8164,77.77,79,99,26.78,overcast clouds
159,Cabo San Lucas,MX,2022-08-10 16:40:23,22.8909,-109.9124,92.61,65,0,4.61,clear sky
160,Summerside,CA,2022-08-10 16:40:24,46.3959,-63.7876,64.47,80,98,3.4,overcast clouds
161,Port Blair,IN,2022-08-10 16:40:25,11.6667,92.75,81.16,83,100,13.73,overcast clouds
162,Saint-Louis,SN,2022-08-10 16:40:25,16.3333,-15.0,101.84,31,72,12.59,broken clouds
163,Vestmannaeyjar,IS,2022-08-10 16:40:26,63.4427,-20.2734,52.79,87,75,12.66,broken clouds
164,Rivadavia,AR,2022-08-10 16:40:27,-33.1905,-68.4608,57.6,31,3,13.11,clear sky
165,Alofi,NU,2022-08-10 16:40:27,-19.0595,-169.9187,64.29,94,11,2.3,few clouds
166,Port Augusta,AU,2022-08-10 16:40:28,-32.5,137.7667,53.22,62,100,7.36,overcast clouds
167,Green River,US,2022-08-10 16:40:28,41.5286,-109.4662,83.19,15,5,2.98,clear sky
168,Lagunas,PE,2022-08-10 16:40:29,-5.2269,-75.6753,80.08,87,76,4.74,broken clouds
169,Andros Town,BS,2022-08-10 16:40:29,24.7,-77.7667,87.76,68,17,14.52,few clouds
170,Douentza,ML,2022-08-10 16:40:30,14.9951,-2.9517,93.69,40,74,4.34,broken clouds
171,Coihaique,CL,2022-08-10 16:40:31,-45.5752,-72.0662,47.01,76,100,3.44,overcast clouds
172,Soe,ID,2022-08-10 16:40:31,-9.8607,124.284,64.35,88,66,5.7,broken clouds
173,Nikolskoye,RU,2022-08-10 16:40:32,59.7035,30.7861,69.69,67,10,4.36,clear sky
174,Yerbogachen,RU,2022-08-10 16:40:33,61.2767,108.0108,55.58,80,100,3.36,overcast clouds
175,Opunake,NZ,2022-08-10 16:40:34,-39.4556,173.8583,40.62,77,41,14.25,scattered clouds
176,Codrington,AU,2022-08-10 16:40:34,-38.2667,141.9667,47.43,89,100,18.88,light rain
177,Pingliang,CN,2022-08-10 16:40:35,35.5392,106.6861,74.43,72,55,4.36,broken clouds
178,Kavieng,PG,2022-08-10 16:40:35,-2.5744,150.7967,79.18,77,100,0.43,overcast clouds
179,Kahului,US,2022-08-10 16:40:36,20.8947,-156.47,80.83,68,0,21.0,clear sky
180,Aleksandrovskiy Zavod,RU,2022-08-10 16:40:37,50.9237,117.9374,51.98,85,100,4.23,light rain
